product_id,product_name,category,total_revenue,units_sold,average_rating
50,Managed reciprocal workforce,Electronics,77544.0,160,3.5
26,Phased responsive support,Home & Kitchen,71594.6,154,3.64
36,Compatible even-keeled time-frame,Electronics,53317.8,180,3.0
31,Focused homogeneous software,Automotive,48053.5,110,2.2
21,Advanced reciprocal migration,Automotive,47958.75,105,3.0
16,Polarized maximized concept,Automotive,44833.36,104,3.5
24,Persevering zero tolerance standardization,Automotive,42928.2,90,3.33
44,Cloned bi-directional budgetary management,Electronics,33832.0,100,4.0
29,Total disintermediate matrix,Automotive,27654.48,72,3.0
32,Optional reciprocal projection,Automotive,26141.34,69,3.33
30,Visionary human-resource encoding,Health,24631.88,52,2.0
10,Inverse client-server throughput,Clothing,24268.68,54,2.0
20,Re-engineered local customer loyalty,Books,22359.68,46,4.0
43,Synergistic national collaboration,Clothing,21645.6,120,3.0
48,Self-enabling zero tolerance framework,Beauty,19266.28,44,2.75
41,User-centric content-based challenge,Office Supplies,17413.2,60,2.67
15,Cross-platform logistical function,Office Supplies,16934.72,34,1.0
9,Cross-group leadingedge middleware,Automotive,15492.03,57,3.67
45,Balanced optimizing conglomeration,Electronics,15322.5,75,2.6
5,Up-sized non-volatile pricing structure,Beauty,14412.65,35,4.0
34,Right-sized scalable capability,Toys,12646.02,57,3.0
46,Diverse 3rdgeneration matrix,Beauty,11980.8,120,3.0
42,Public-key local adapter,Clothing,11910.0,120,3.0
35,Implemented maximized protocol,Home & Kitchen,11493.9,90,2.4
6,Devolved mission-critical collaboration,Clothing,9489.57,69,3.67
38,Adaptive 5thgeneration secured line,Electronics,8993.08,76,3.75
4,Monitored next generation workforce,Automotive,8187.12,72,3.25
25,Automated non-volatile matrices,Electronics,8139.96,27,
1,Total demand-driven pricing structure,Books,8105.2,23,5.0
14,Optimized hybrid conglomeration,Clothing,7205.28,24,5.0
2,Horizontal interactive portal,Home & Kitchen,6436.92,21,4.0
47,Team-oriented clear-thinking database,Sports,6414.9,30,3.5
22,Self-enabling foreground structure,Books,6324.45,15,2.0
17,Open-source disintermediate process improvement,Home & Kitchen,5479.2,16,2.0
49,Business-focused content-based budgetary management,Automotive,4276.8,80,3.25
13,Horizontal object-oriented encryption,Sports,3471.49,11,5.0
33,Team-oriented contextually-based functionalities,Books,3442.5,17,4.0
3,Ergonomic 24hour capability,Beauty,3091.68,36,3.0
28,Business-focused stable frame,Home & Kitchen,2701.8,57,3.67
40,Mandatory attitude-oriented knowledgebase,Health,2665.2,24,5.0
18,Front-line context-sensitive protocol,Toys,2529.24,42,2.0
7,Cloned coherent focus group,Toys,2425.5,22,1.0
27,Phased object-oriented superstructure,Beauty,2020.2,60,3.5
8,Versatile fault-tolerant strategy,Health,1590.12,21,3.0
12,Diverse even-keeled budgetary management,Health,1500.0,30,3.0
11,Adaptive fault-tolerant analyzer,Beauty,1496.04,3,4.0
23,Advanced asynchronous project,Beauty,1371.22,17,2.0
39,Team-oriented zero-defect matrices,Toys,1202.1,30,
37,Seamless hybrid conglomeration,Beauty,856.0,100,3.0
19,Integrated impactful architecture,Health,515.58,78,3.33
